"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.830494917E0,8.367599487E-2,-2.192939758E-1,3.918850708E-1
2.840422917E0,-8.517288208E-2,1.032852173E-1,2.817141724E-1
2.850350917E0,-5.632786560E-1,4.809498596E-1,9.160949707E-2
2.860278917E0,-8.744815063E-1,8.375083923E-1,-9.189390564E-1
2.870206917E0,3.243155823E0,3.670217743E0,2.100132751E-1
2.880134917E0,9.051676941E0,5.677992554E0,-1.695224762E0
2.890061917E0,8.056696014E0,3.150648193E0,-2.148931274E0
2.899989917E0,3.771706696E0,-2.769241333E-1,8.217910767E-2
2.909917917E0,7.756869507E-1,-1.188678131E0,1.559756470E0
2.919845917E0,-2.110610962E-2,-9.539662170E-1,3.521876221E0
2.929773917E0,1.496887207E-2,-4.345463562E-1,4.499193878E0
2.939701917E0,-1.344204712E-1,-2.561174011E-1,4.668791199E0
2.949628917E0,-1.634600830E-1,-6.132746887E-1,6.936425629E0
2.959556917E0,-2.823129272E0,-3.388503571E0,1.793225967E1
2.969484917E0,1.621428223E0,-2.288141785E0,1.290376648E1
2.979412917E0,5.938301239E0,4.433779907E-1,3.929927673E0
2.989340917E0,5.177433472E0,-1.543440399E0,1.967957611E0
2.999267917E0,4.428840179E0,-3.430266724E0,7.328759766E-1
3.009195917E0,1.290466461E0,-3.870800629E0,-4.177662506E0
3.019123917E0,-3.519780579E0,-5.207820282E0,-1.488040604E1
3.029051917E0,-3.154839478E0,-8.395890656E0,-1.343037140E1
3.038979917E0,-1.783241730E0,-1.496767456E1,-2.889890442E0
3.048907917E0,-4.722828827E0,-3.103406433E1,1.185085602E0
3.058834917E0,-7.745493164E0,-5.223627411E1,2.377056885E0
3.068762917E0,-4.285438385E0,-6.187577866E1,2.786754913E0
3.078690917E0,6.264323273E0,-6.023084930E1,3.624412994E0
3.088618917E0,1.252744904E1,-4.383978470E1,1.390907593E0
3.098546917E0,1.971759705E1,-3.065370529E1,6.704557800E-1
3.108474917E0,2.039703415E1,-2.506881912E1,1.455573120E0
3.118401917E0,1.073073532E1,-2.279953812E1,1.371148682E0
3.128329917E0,2.631677399E0,-2.291719345E1,1.789528656E0
3.138257917E0,-1.187779999E0,-2.210947311E1,4.123175812E0
3.148185917E0,-5.093907166E-1,-1.877111526E1,3.456462250E0
3.158113917E0,1.478774872E0,-1.595891327E1,1.533411255E0
3.168041917E0,2.031874695E0,-1.458761490E1,-2.192790070E0
3.177968917E0,2.883453827E0,-1.089718918E1,-8.860075378E0
3.187896917E0,2.144590302E0,-5.314398651E0,-8.517288208E-1
3.197824917E0,2.165995789E-1,-3.450474701E0,2.394420776E0
3.207752917E0,-2.782713318E-1,-2.985541534E0,3.073558502E0
3.217680917E0,4.405339050E-1,-2.696492615E0,2.339035950E0
