"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.061446083E2,1.292696823E1,-5.104684753E0,2.037862244E0
1.061545333E2,1.347976868E1,-5.018314362E0,2.052681427E0
1.061644583E2,1.415052383E1,-5.120102692E0,1.984423370E0
1.061743833E2,1.495779510E1,-5.497318268E0,1.953437805E0
1.061843083E2,1.525911850E1,-5.797144775E0,2.165995789E0
1.061942333E2,1.524564651E1,-5.658383331E0,2.485132141E0
1.062041583E2,1.519849457E1,-5.433700562E0,2.657872925E0
1.062140833E2,1.524130554E1,-5.566025391E0,2.592309265E0
1.062240083E2,1.535342239E1,-5.767656097E0,2.339185638E0
1.062339333E2,1.540012527E1,-5.768254852E0,2.073188782E0
1.062438583E2,1.535866150E1,-5.664670258E0,1.891766052E0
1.062537833E2,1.529534317E1,-5.445675659E0,1.790277100E0
1.062637083E2,1.507350449E1,-5.180576935E0,1.766476593E0
1.062736333E2,1.479448471E1,-4.777465210E0,1.906136169E0
1.062835583E2,1.437430847E1,-4.261039124E0,2.103874969E0
1.062934833E2,1.378049332E1,-3.932322693E0,2.282902679E0
1.063034083E2,1.318383408E1,-3.692371674E0,2.432741089E0
1.063133333E2,1.260962814E1,-3.507057037E0,2.493963776E0
1.063232583E2,1.202509369E1,-3.382366333E0,2.494562531E0
1.063331833E2,1.144939087E1,-3.298989716E0,2.427052917E0
1.063431083E2,1.085812042E1,-3.192111969E0,2.373015289E0
1.063530333E2,1.014515305E1,-2.933449860E0,2.274520111E0
1.063629583E2,9.292526093E0,-2.497855682E0,2.158211975E0
1.063728833E2,8.480614471E0,-2.040406952E0,2.011067963E0
1.063828083E2,7.755671997E0,-1.642833710E0,1.860630798E0
1.063927333E2,7.044650574E0,-1.259630585E0,1.708247681E0
1.064026588E2,6.455475769E0,-9.443861389E-1,1.593286743E0
1.064125838E2,6.013594666E0,-7.453001404E-1,1.467697906E0
1.064225088E2,5.654042358E0,-6.212081909E-1,1.297202454E0
1.064324338E2,5.358407135E0,-5.599855042E-1,1.128652954E0
1.064423588E2,5.073399811E0,-5.240602112E-1,9.454339600E-1
1.064522838E2,4.835694122E0,-4.712200928E-1,7.818241882E-1
1.064622088E2,4.597988434E0,-4.113446045E-1,6.670129395E-1
1.064721338E2,4.414020996E0,-3.387455750E-1,6.173162842E-1
1.064820588E2,4.227808228E0,-2.451901245E-1,6.141728210E-1
1.064919848E2,4.038601685E0,-1.601669312E-1,5.878276062E-1
1.065019098E2,3.934118958E0,-1.456471252E-1,6.270460510E-1
1.065118348E2,3.964954834E0,-1.827699280E-1,6.782395935E-1
1.065217598E2,3.926784210E0,-3.267704773E-1,7.755372620E-1
1.065316848E2,3.996838531E0,-5.664221191E-1,9.511221313E-1
1.065416098E2,4.159699860E0,-8.409512329E-1,1.112037506E0
1.065515348E2,4.324806519E0,-1.157393188E0,1.338516541E0
1.065614598E2,4.728067932E0,-1.505868530E0,1.670975189E0
1.065713848E2,5.509742432E0,-2.040406952E0,1.936522980E0
1.065813098E2,6.340814209E0,-2.718945923E0,1.987417145E0
